H2,CH4,C2H6,C2H4,C2H2
117.0,17.0,1.0,3.0,1.0
407.0,28.0,15.0,21.0,0.001
183.0,6.0,0.001,5.0,0.001
166.0,21.0,38.0,6.0,0.001
105.0,23.0,13.0,4.0,3.0
110.0,7.0,0.001,0.001,0.001
111.7,19.4,104.1,6.4,3.8
181.5,22.0,76.0,3.7,0.001
230.0,15.9,16.3,1.9,2.4
101.0,8.1,0.001,3.0,0.001
134.0,13.0,156.0,0.001,0.001
1549.2,10.2,0.001,53.19,0.001
1458.0,9.0,1812.0,0.001,0.001
195.0,5.3,0.001,0.001,0.001
197.0,12.0,6.6,15.0,0.001
106.0,4.0,2.0,1.0,0.001
109.0,4.0,11.0,9.0,0.001
109.0,16.0,0.001,0.001,0.001
116.0,14.0,134.0,5.3,0.001
100.0,18.0,0.001,0.001,0.001
113.0,21.0,48.0,0.001,4.0
103.5,4.7,16.3,3.5,0.001
160.0,24.7,38.5,0.001,0.001
134.0,13.0,267.0,0.001,0.001
235.0,16.0,0.001,35.0,0.001
187.0,5.0,1.0,0.001,0.001
121.0,3.0,1.0,0.001,0.001
2510.0,202.0,139.0,208.0,1730.0
109.0,19.0,5.0,12.0,59.0
135.0,27.0,24.0,9.0,13.0
174.0,27.0,6.0,12.0,29.0
179.0,29.0,10.0,17.0,33.0
142.0,17.0,4.0,7.0,38.0
595.0,32.0,4.0,18.0,65.0
720.0,7.0,0.001,15.0,101.0
163.0,26.0,7.0,19.0,133.0
153.0,18.0,9.0,0.001,278.0
111.0,2.8,47.0,0.001,27.5
124.0,14.0,4.0,0.001,13.0
143.0,5.8,16.0,10.6,26.3
137.0,6.0,11.4,6.4,16.5
102.0,6.0,6.0,7.0,10.0
115.0,25.5,110.0,12.2,8.6
169.0,38.0,48.5,6.5,5.8
186.0,38.3,13.0,37.0,85.9
151.0,13.5,50.7,5.0,9.2
716.0,7.1,3.3,20.0,6.8
716.0,7.1,33.0,20.0,6.8
476.0,28.0,27.0,36.0,148.0
289.0,13.4,18.2,49.8,36.3
3559.0,187.0,22.0,230.0,1140.0
4879.0,262.0,15.0,332.0,1827.0
4127.0,267.0,18.0,355.0,2060.0
843.0,133.0,12.0,168.0,385.0
137.0,33.0,8.0,29.0,111.0
315.0,60.0,14.0,93.0,218.0
818.0,94.0,49.0,121.0,978.0
500.0,97.0,193.0,40.0,121.0
119.0,8.0,20.0,0.001,21.0
205.0,20.0,8.0,0.001,6.0
119.0,8.0,23.3,7.9,12.3
256.0,8.0,37.4,15.0,21.1
153.0,18.0,9.0,0.001,11.0
301.0,5.78,4.7,9.7,5.0
208.0,7.6,27.5,9.7,14.4
254.0,5.2,0.001,9.3,88.0
385.0,28.8,50.0,82.3,171.0
225.0,4.7,0.001,8.7,89.0
179.0,39.3,64.0,654.0,168.0
47.0,9.0,4.0,16.0,81.0
84.0,6.0,1.0,14.0,86.0
629.0,402.0,16.0,298.0,1127.0
35.0,11.0,0.001,7.0,146.0
64.0,18.0,1.0,4.0,122.0
63.0,22.0,15.0,11.0,76.0
30.0,14.0,1.0,9.0,43.0
323.0,115.0,7.0,130.0,446.0
80.0,28.0,4.0,15.0,107.0
19.0,12.0,2.0,8.0,63.0
152.0,116.0,7.0,131.0,414.0
25.0,9.0,6.0,5.0,44.0
57.0,148.0,197.0,72.0,42.0
156.0,55.0,103.0,13.0,16.0
85.0,49.0,4.0,50.0,399.0
392.0,153.0,82.0,45.0,236.0
48.0,20.0,69.0,41.0,31.0
88.0,21.8,79.2,41.2,41.5
50.0,42.0,98.0,10.0,33.0
43.0,19.0,3.0,0.001,40.0
59.0,20.0,120.0,5.5,8.9
292.0,346.0,32.0,313.0,196.0
0.001,21.0,0.001,0.001,40.0
26.6,4.0,0.001,8.0,50.0
10.0,15.0,0.001,0.001,35.0
41.0,16.0,19.0,58.0,106.0
37.0,11.8,15.5,43.6,83.3
14.3,92.6,83.9,16.7,26.8
123.0,50.7,9.0,62.0,65.9
2.0,41.0,133.0,9.0,21.0
26.0,68.0,93.0,31.0,59.0
77.0,36.0,27.0,18.0,76.0
46.0,21.0,1.0,11.0,93.0
25.0,28.0,27.0,15.0,80.0
243.0,127.0,20.0,122.0,588.0
88.0,45.0,57.0,15.0,39.0
61.0,21.0,2.0,26.0,89.0
151.0,51.0,16.0,12.0,19.0
75.0,5.0,31.0,69.0,36.0
71.0,151.0,9.0,89.0,412.0
87.0,34.0,23.0,15.0,60.0
114.0,41.0,27.0,15.0,42.0
60.0,85.0,5.0,67.0,227.0
46.0,20.0,14.0,10.0,42.0
22.0,14.0,19.0,6.0,56.0
70.0,4.0,91.0,0.001,34.0
65.4,20.2,70.0,39.0,40.2
155.0,49.0,69.3,42.0,10.7
88.5,22.8,108.4,12.0,7.5
0.001,0.001,10.0,5.0,35.0
34.0,0.001,0.001,0.001,44.0
12.4,6.5,15.3,69.0,15.0
215.0,84.8,87.7,1002.0,212.0
17.0,42.0,192.0,12.0,20.0
4.0,88.0,213.0,14.0,35.0
42.0,124.0,1.0,8.0,0.001
36.0,167.0,230.0,18.0,0.001
10.0,56.0,72.0,70.0,0.001
9.0,38.0,93.0,8.0,0.001
36.0,21.0,65.0,2.0,0.001
161.0,38.0,210.0,13.0,0.001
38.0,38.0,296.0,14.0,0.001
13.0,59.0,117.0,44.0,0.001
10.0,44.0,106.0,28.0,0.001
15.0,7.0,92.0,5.0,0.001
85.0,98.0,315.0,30.0,0.001
74.0,173.0,263.0,33.0,0.001
122.0,161.0,271.0,35.0,0.001
69.0,174.0,267.0,15.0,0.001
113.0,137.0,173.0,34.0,0.001
111.0,67.0,105.0,9.0,0.001
18.0,30.0,146.0,8.0,0.001
21.0,14.0,191.0,90.0,0.001
31.2,8.9,119.0,4.4,0.001
34.0,8.6,70.3,3.1,0.001
10.0,24.0,80.0,5.0,0.001
0.001,43.0,146.0,9.0,0.001
0.001,215.0,555.0,18.4,0.001
0.001,153.0,395.0,11.7,0.001
0.001,187.0,609.0,13.0,0.001
320.0,131.0,187.0,127.0,0.001
13.2,18.7,97.4,79.5,4.7
16.4,45.5,68.7,3.8,0.001
0.001,116.0,70.0,0.001,0.001
24.0,109.0,69.0,0.001,0.001
0.001,33.7,136.0,11.4,0.001
54.9,8.8,80.0,2.5,0.001
93.5,131.9,39.0,11.7,0.001
16.0,68.0,124.0,15.0,0.001
11.0,46.0,155.0,18.0,0.001
16.0,68.0,157.0,19.0,0.001
29.0,71.0,158.0,20.0,0.001
19.0,48.0,76.0,18.0,0.001
8.0,16.0,88.0,7.0,0.001
10.0,26.0,147.0,6.0,0.001
9.0,56.0,135.0,7.0,1.0
45.0,125.0,111.0,25.0,0.001
16.0,105.0,224.0,15.0,0.001
10.0,63.0,176.0,35.0,0.001
6.0,38.0,93.0,32.0,0.001
12.0,28.0,102.0,3.0,0.001
27.0,28.0,136.0,8.0,0.001
27.0,49.0,192.0,9.0,0.001
24.0,47.0,113.0,10.0,0.001
43.0,28.0,72.0,9.0,0.001
25.0,29.0,137.0,8.0,0.001
19.0,62.0,95.0,5.0,0.001
157.0,46.0,76.0,12.0,0.001
115.0,129.0,316.0,36.0,0.001
112.0,68.0,136.0,9.0,0.001
11.0,271.0,465.0,32.0,0.001
121.0,73.0,179.0,11.0,0.001
128.0,35.0,213.0,17.0,0.001
16.0,80.0,134.0,10.0,0.001
92.0,27.0,67.0,7.0,0.001
17.0,21.0,118.0,0.001,4.0
36.0,94.0,78.0,13.0,2.0
6.0,197.0,476.9,16.9,0.001
24.7,20.4,117.0,71.0,6.8
820.0,1740.0,951.0,867.0,128.0
74.0,100.0,85.0,17.0,0.001
39.4,65.2,103.9,8.1,0.001
74.8,30.1,82.3,13.6,0.001
79.0,40.0,264.0,10.0,0.001
5.0,14.0,234.0,5.0,0.001
15.0,139.0,160.0,343.0,0.001
0.001,6.0,52.0,67.0,0.001
26.0,398.0,85.0,319.0,0.001
50.0,274.0,95.0,320.0,6.3
31.0,63.0,246.0,714.0,7.0
2.0,5.0,81.0,172.0,0.001
3.0,5.0,90.0,185.0,3.0
16.0,98.0,35.0,64.0,0.001
2.0,123.0,7.0,18.0,0.001
185.0,302.0,27.0,33.0,0.001
14.0,15.0,42.0,73.0,0.001
62.0,425.0,276.0,651.0,26.0
88.7,460.8,94.9,184.6,18.3
119.0,670.0,286.0,934.0,19.0
109.0,102.0,28.0,91.0,0.001
0.001,4.9,81.0,172.0,0.001
24.0,78.0,266.0,779.0,7.0
24.0,80.0,258.0,741.0,6.0
18.0,35.0,2.0,110.0,0.001
10.0,4.0,1.0,87.0,0.001
8.0,1.0,0.001,60.0,0.001
24.0,20.0,4.0,87.0,0.001
21.0,42.0,4.0,92.0,0.001
35.0,29.0,7.0,78.0,0.001
8.0,88.0,45.0,252.0,0.001
0.001,28.0,64.0,408.0,6.0
0.001,100.0,309.0,1365.0,7.0
0.001,106.0,170.0,871.0,6.0
86.0,480.0,155.0,644.0,9.0
121.0,450.0,146.0,898.0,116.0
0.001,3.4,0.001,54.0,0.001
11.0,13.0,2.0,127.0,0.001
4.0,2.0,1.0,63.0,0.001
20.0,26.0,6.0,55.0,0.001
34.0,174.0,52.0,361.0,0.001
7.0,31.0,23.0,148.0,0.001
0.001,0.001,0.001,142.0,0.001
89.0,281.0,145.0,1216.0,22.0
0.001,10.0,17.0,68.0,5.0
39.0,525.0,538.0,2925.0,16.0
9.0,47.0,144.0,628.0,0.001
53.0,189.0,25.0,295.0,5.0
12.0,270.0,0.001,275.0,0.001
0.001,153.0,130.0,677.0,13.0
27.0,51.0,0.001,153.0,0.001
0.001,0.001,9.0,57.0,0.001
210.0,36.0,13.0,57.0,0.001
5.0,112.0,130.0,5.0,0.001
10.0,94.0,28.0,208.0,0.4
19.0,88.0,25.0,89.0,0.001
6.0,83.0,141.0,5.0,0.001
3.0,104.0,205.0,4.0,0.001
18.0,40.0,7.0,93.0,0.7
15.0,83.0,215.0,8.0,0.001
42.0,266.0,139.0,308.0,0.001
17.0,111.0,109.0,6.0,0.001
12.0,10.0,5.0,80.0,0.001
79.0,2200.0,1236.0,1430.0,0.001
19.0,6.0,2.0,105.0,23.0
760.0,35.0,3.0,1.0,0.001
22.0,77.0,17.0,120.0,0.5
243.0,65.0,7.0,4.0,0.001
145.0,118.0,19.0,3.0,0.001
67.0,250.0,66.0,373.0,0.001
5.0,120.0,144.0,5.0,0.001
12.0,99.0,29.0,227.0,0.3
18.0,92.0,25.0,90.0,0.001
5.0,88.0,142.0,5.0,0.001
4.0,106.0,217.0,4.0,0.001
16.0,41.0,8.0,102.0,1.5
23.0,76.0,221.0,9.0,0.001
41.0,316.0,162.0,353.0,0.001
16.0,112.0,122.0,6.0,0.001
10.0,10.0,5.0,91.0,0.001
23.0,1865.0,1044.0,1229.0,0.001
715.0,40.0,4.0,2.0,0.001
288.0,75.0,8.0,5.0,0.001
183.0,135.0,21.0,3.0,0.001
101.0,539.0,120.0,809.0,1.1
206.0,711.0,219.0,1149.0,1.4
1531.0,274.0,16.0,221.0,510.0
367.0,129.0,23.0,256.0,200.0
117.0,31.0,4.0,22.0,49.0
626.0,179.0,13.0,199.0,351.0
703.0,4936.0,1641.0,8207.0,0.001
14.0,19.0,6.0,40.0,0.001
10.0,21.0,5.0,4.0,0.001
4.0,42.0,8.0,7.0,0.001
27.0,68.0,13.0,5.0,0.001
0.001,16.0,3.0,5.0,0.001
0.001,11.0,4.0,18.0,0.001
0.001,13.0,3.0,3.0,0.001
5.0,539.0,341.0,465.0,0.001
8.0,32.0,7.0,9.0,0.001
206.0,711.0,219.0,1149.0,1.4
9.0,23.0,8.0,2.0,0.001
748.0,324.0,43.0,364.0,626.0
12.0,22.0,4.0,14.0,0.001
120.0,23.0,15.0,40.0,36.0
0.001,0.001,0.001,19.0,0.001
59.0,29.0,11.0,36.0,0.001
4296.0,267.0,18.0,0.001,0.001
1263.0,216.0,27.0,358.0,284.0
142.0,656.0,349.0,704.0,0.001
2960.0,4470.0,1497.0,3508.0,7.0
121.0,67.0,24.0,147.0,0.001
1810.0,614.0,109.0,852.0,785.0
413.0,29.0,7.0,20.0,0.001
46.0,106.0,34.0,150.0,0.001
255.0,161.0,18.0,44.0,0.001
361.0,402.0,115.0,601.0,0.001
450.0,58.0,7.0,5.0,0.001
199.2,33.68,11.74,52.86,0.001
171.32,37.23,11.18,51.08,0.001
254.91,38.43,10.32,45.17,0.001
249.18,42.93,9.94,41.7,0.001
289.07,38.2,9.14,31.81,0.001
242.25,34.25,8.4,26.61,0.001
196.24,28.8,6.77,18.8,0.001
108.2,29.1,6.9,13.6,0.001
166.0,27.0,14.0,7.0,0.001
415.58,16.0,3.0,0.001,0.001
4.69,96.71,105.94,4.04,0.001
6.05,95.33,102.49,4.02,0.001
4.47,92.6,84.01,3.95,0.001
12.35,99.36,28.97,214.87,0.43
5.35,84.15,24.66,176.98,0.21
8.7,83.35,24.42,172.88,0.2
7.96,87.67,22.76,177.01,0.21
8.75,75.68,21.9,171.14,0.15
9.34,79.46,21.56,176.96,0.29
14.01,76.87,22.27,172.7,0.42
22.04,70.68,22.42,162.0,0.58
0.001,43.77,14.0,109.18,0.001
12.0,41.0,15.0,96.0,0.001
0.001,46.0,23.0,103.0,2.0
0.001,39.0,12.0,85.0,0.001
0.001,41.0,11.0,81.0,0.001
0.001,40.0,11.0,70.0,0.001
0.001,36.0,10.0,73.0,0.001
0.001,45.0,10.94,72.72,0.001
0.001,43.0,14.0,82.44,0.001
0.001,40.0,11.0,71.0,0.001
39.0,33.0,8.0,58.0,0.001
18.86,86.36,24.9,87.25,0.001
15.02,82.66,23.76,88.12,0.001
13.94,78.73,23.23,87.58,0.001
10.55,72.12,20.65,83.11,0.001
11.04,226.14,63.07,221.32,0.001
10.05,219.74,67.25,234.08,0.001
14.399,211.9,65.964,233.74,0.001
13.07,215.81,65.51,232.68,0.001
23.5449,211.7,64.7,267.96,0.001
19.55,171.45,55.0908,196.2,0.001
24.1279,182.4585,63.2909,217.8491,0.001
0.001,180.4707,48.7819,208.8484,0.001
0.001,171.926,48.5268,198.8021,0.001
0.001,170.61,46.64,195.044,0.001
0.001,167.1127,43.0063,186.9527,0.001
0.001,175.2979,50.3763,207.1154,0.001
0.001,152.067,42.889,176.04,0.001
24.48,160.03,47.07,185.54,0.001
20.2651,167.5877,43.2271,191.304,0.001
40.22,201.94,51.4,229.5,0.001
22.01,174.03,49.44,210.2896,0.001
15.3889,110.96,30.5829,126.146,0.001
41.1,112.4485,27.4837,123.807,0.001
3.17,80.35,139.82,5.06,0.001
4.06,82.18,142.57,4.99,0.001
5.8,84.51,143.89,5.27,0.001
3.93,74.33,129.65,4.99,0.001
3.3532,73.3413,128.67,4.9134,0.001
3.37,75.5,127.28,5.02,0.001
2.5,71.88,111.81,4.83,0.001
4.19,89.76,185.75,3.55,0.001
4.92,93.13,172.25,3.51,0.001
3.49,81.06,146.74,3.34,0.001
3.39,67.24,124.65,3.03,0.001
2.7,61.19,116.47,2.7,0.001
15.18,37.64,6.6,96.95,0.89
27.18,37.12,6.16,87.57,2.61
17.0,37.0,5.95,84.0,2.58
18.14,41.44,5.9,82.3,5.22
29.47,47.07,5.46,81.87,0.41
36.32,40.59,4.51,79.75,0.65
43.558,32.8987,3.77,75.26,1.56
24.15,25.48,2.41,61.31,3.13
36.0,24.98,3.0,55.48,14.0
32.0,20.0,4.0,42.0,22.0
33.38,17.18,4.94,34.16,19.41
0.001,12.73,0.001,22.84,25.78
21.65,12.01,0.001,15.29,29.26
20.97,13.29,0.001,15.22,28.66
27.97,12.88,0.001,14.91,26.57
21.64,4.66,0.001,3.7,17.2
24.24,5.26,0.001,4.58,16.84
27.38,4.99,0.001,4.84,11.64
0.001,0.001,0.001,2.13,6.38
9.23,86.19,211.65,8.0,0.001
8.2,82.66,187.84,7.47,0.001
11.94,72.62,154.82,6.98,0.001
13.42,67.6,146.84,6.01,0.001
10.1,66.83,147.3,5.68,0.001
8.0286,61.5442,143.9509,5.3355,0.001
11.17,52.2335,110.45,5.8269,0.001
18.0,47.0,97.18,7.0,0.001
15.12,44.55,82.24,3.67,0.001
37.86,286.45,148.56,324.53,0.001
16.0,173.0,98.0,225.0,0.001
23.4,161.92,88.36,212.51,0.001
0.0,83.56,56.21,134.17,0.001
9.89,1104.929,547.86,1251.66,0.001
13.85,95.77,82.22,5.34,0.001
18.31,92.1,75.93,5.15,0.001
11.19,8.99,4.44,71.76,0.001
11.29,9.19,4.32,68.36,0.001
9.41,8.81,3.71,60.72,0.001
9.49,7.28,3.3,53.44,0.001
11.19,8.99,4.44,71.76,0.001
11.29,9.19,4.32,68.36,0.001
9.41,8.81,3.71,60.72,0.001
9.49,7.28,3.3,53.44,0.001
11.19,8.0,3.0,80.0,0.001
11.29,9.19,4.32,79.0,0.001
9.41,8.0,5.0,81.0,0.001
9.49,9.0,4.0,80.0,0.001
11.19,8.0,3.0,77.0,0.001
11.29,8.0,4.0,80.0,0.001
9.41,8.81,5.0,79.0,0.001
9.49,8.0,4.0,80.0,0.001
67.48,2137.27,1125.97,1346.53,0.001
69.74,2025.8,1046.93,1271.25,0.001
47.98,1771.16,968.45,1171.94,0.001
45.16,1660.95,976.82,1120.33,0.001
55.6,1736.6,1012.67,1219.8,0.001
56.92,1634.44,998.45,1139.22,0.001
39.23,1553.09,955.5,1196.26,0.001
70.0,1522.0,850.0,1087.0,0.001
78.0,1444.0,819.0,1255.0,0.001
84.0,1380.0,707.0,909.0,0.001
75.0,1045.0,550.0,775.0,0.001
124.0,1065.0,534.0,746.0,0.001
98.0,1062.0,523.0,719.0,0.001
51.0,494.0,252.0,374.0,0.001
61.0,385.0,194.0,303.0,0.001
63.0,292.0,137.0,217.0,0.001
62.0,264.0,134.0,220.0,0.001
39.0,151.0,78.0,130.0,0.001
58.0,163.0,78.0,132.0,0.001
43.0,146.0,75.0,128.0,0.001
23.0,63.0,31.0,57.0,0.001
14.04,4.86,1.56,93.24,18.56
12.93,4.43,1.49,86.47,14.67
16.39,3.86,1.43,82.12,10.03
15.846,3.656,0.9,85.0,13.0
9.03,3.44,0.94,77.66,12.36
8.44,4.2,1.15,75.07,10.536
23.0,7.0,5.0,78.0,20.0
18.7886,4.8141,2.9838,72.857,12.9432
0.001,6.0,0.001,72.0,15.0
0.001,4.0,0.001,56.0,16.0
10.0,4.86,1.56,93.24,12.0
11.0,4.43,1.49,86.47,9.0
11.0,3.86,1.43,82.12,11.34
9.0,3.656,0.9,85.0,13.0
9.03,3.44,0.94,77.66,12.35
10.0,4.2,1.15,75.07,12.4
11.0,7.0,5.0,78.0,11.0
12.0,4.8141,2.9838,72.857,11.8
11.0,6.0,0.001,72.0,12.2
11.0,4.0,0.001,56.0,15.6
9.0,4.86,1.56,60.0,7.12
8.0,4.43,1.49,59.0,6.99
10.0,3.86,1.43,60.0,8.01
9.0,3.656,0.9,57.0,8.0
8.0,3.44,0.94,57.0,7.92
8.0,4.2,1.15,60.0,8.0
10.0,7.0,5.0,59.0,7.01
10.0,4.8141,2.9838,60.0,9.1
9.0,6.0,0.001,59.0,8.34
11.0,4.0,0.001,60.0,7.93
150.86,102.64,16.24,2.25,0.001
149.88,93.6,14.31,2.12,0.001
179.78,92.84,13.41,1.95,0.001
210.49,75.38,10.52,2.03,0.001
251.03,49.1,6.71,1.65,0.001
270.18,29.46,4.28,1.63,0.001
311.04,7.89,0.87,1.26,0.001
11.66,162.24,43.16,169.29,0.001
17.13,159.08,41.35,164.67,0.001
4.23,138.23,37.3,130.05,0.001
4.98,131.92,35.58,133.24,0.001
3.54,129.87,37.815,137.87,0.001
3.83,125.83,38.45,138.02,0.001
0.001,109.68,32.499,127.122,0.001
15.0,107.0,33.0,123.0,0.001
0.001,106.0,32.0,126.0,0.001
0.001,99.0,27.0,139.0,0.001
0.001,89.0,25.0,135.0,0.001
0.001,92.0,25.0,142.0,0.001
0.001,95.0,25.0,147.0,0.001
0.001,77.0,22.0,124.0,0.001
0.001,82.0,23.0,117.0,0.001
0.001,72.0,21.0,109.0,0.001
30.0,73.0,18.0,108.0,0.001
30.0,64.0,21.0,104.0,0.001
239.0,27.5,5.5,25.5,85.0
128.0,106.0,11.5,153.0,223.0
36.0,24.0,0.0,24.0,21.0
49.0,12.0,0.3,4.0,4.8
172.0,336.5,172.5,821.0,37.0
162.5,224.0,45.5,497.0,12.5
27.5,88.0,40.5,62.0,0.2
178.0,259.0,40.0,62.0,0.2
157.0,127.0,34.0,96.0,0.001
650.0,53.0,34.0,20.0,0.001
32930.0,2397.0,157.0,0.001,0.001
14.0,44.0,124.0,7.0,1.0
3675.0,6392.0,2500.0,7691.0,5.0
400.0,940.0,210.0,820.0,24.0
20000.0,13000.0,1850.0,29000.0,57000.0
1790.0,580.0,321.0,336.0,619.0
755.0,229.0,32.0,404.0,460.0
1900.0,285.0,31.0,957.0,7730.0
8200.0,3790.0,250.0,4620.0,5830.0
60.0,5.0,2.0,21.0,21.0
7600.0,1230.0,318.0,836.0,1560.0
6.0,2990.0,29990.0,26076.0,67.0
107.0,143.0,34.0,222.0,2.0
9290.0,1001.0,60.0,6.0,8.0
9340.0,995.0,60.0,6.0,7.0
1790.0,580.0,321.0,336.0,619.0
120.0,31.0,0.001,66.0,94.0
13500.0,6110.0,212.0,4510.0,4040.0
26788.0,18342.0,2111.0,27.0,0.001
4.0,1.0,2.0,7.0,52.0
120.0,25.0,1.0,8.0,40.0
10000.0,6730.0,345.0,7330.0,10400.0
8800.0,64064.0,72128.0,95650.0,0.001
12.0,20.0,2.0,10.0,0.001
10.0,11.0,3.0,2.0,0.001
11.0,13.0,4.0,7.0,0.001
27.0,41.0,2.0,1.0,0.001
0.001,11.0,3.0,0.001,0.001
0.001,11.0,4.0,2.0,0.001
0.001,13.0,3.0,3.0,0.001
12.0,2.0,0.001,0.001,0.001
10.0,9.0,3.0,1.0,0.001
11.0,13.0,4.0,7.0,0.001
22.0,9.0,0.001,0.001,0.001
0.001,11.0,0.001,0.001,0.001
0.001,11.0,4.0,2.0,0.001
0.001,13.0,3.0,3.0,0.001
12.0,11.0,3.0,2.0,0.001
10.0,31.0,5.0,1.0,0.001
11.0,23.0,4.0,7.0,0.001
27.0,25.0,2.0,1.0,0.001
9.0,31.0,4.0,0.001,0.001
7.0,25.0,4.0,2.0,0.001
12.0,26.0,5.0,3.0,0.001
23.0,10.0,1.0,0.001,0.001
9.0,15.0,3.0,2.0,0.001
35.0,13.0,4.0,0.001,0.001
28.0,22.0,2.0,1.0,0.001
26.0,9.0,3.0,0.001,0.001
11.0,33.0,4.0,2.0,0.001
31.0,41.0,3.0,3.0,0.001
15.0,33.0,0.001,0.001,0.001
11.0,37.0,3.0,1.0,0.001
21.0,46.0,4.0,7.0,0.001
15.0,25.0,0.001,0.001,0.001
10.0,10.0,0.001,0.001,0.001
8.0,9.0,4.0,2.0,0.001
12.0,23.0,3.0,3.0,0.001
8.0,21.0,2.0,2.0,0.001
10.0,24.0,3.0,1.0,0.001
13.0,22.0,4.0,7.0,0.001
36.0,35.0,2.0,1.0,0.001
19.0,36.0,3.0,0.001,0.001
22.0,22.0,4.0,2.0,0.001
13.0,54.0,3.0,3.0,0.001
11.66,162.24,43.16,178.0,0.001
17.13,159.08,41.35,170.0,0.001
4.23,138.23,37.3,179.0,0.001
4.98,131.92,35.58,177.0,0.001
3.54,129.87,37.815,180.0,0.001
3.83,125.83,38.45,181.0,0.001
10.0,109.68,32.499,179.0,0.001
15.0,107.0,33.0,184.0,0.001
13.0,106.0,32.0,185.0,0.001
13.0,99.0,27.0,184.0,0.001
15.0,89.0,25.0,185.0,0.001
14.0,92.0,25.0,184.0,0.001
15.0,95.0,25.0,185.0,0.001
16.0,77.0,22.0,185.0,0.001
13.0,82.0,23.0,184.0,0.001
12.0,72.0,21.0,185.0,0.001
19.0,73.0,18.0,186.0,0.001
20.0,64.0,21.0,186.0,0.001
25.0,69.0,56.0,80.0,0.0
97.0,145.0,34.0,96.0,0.001
101.0,127.0,30.0,100.0,0.001
47.0,133.0,34.0,77.0,0.001
45.0,119.0,44.0,67.0,0.001
105.0,106.0,36.0,95.0,0.001
93.0,97.0,54.0,97.0,0.001
89.0,143.0,32.0,89.0,0.001
78.0,127.0,33.0,91.0,0.001
103.0,113.0,61.0,98.0,0.001
77.0,109.0,34.0,99.0,0.001
104.0,122.0,52.0,95.0,0.001
36.0,132.0,53.0,103.0,0.001
107.0,109.0,62.0,111.0,0.001
30.0,98.0,47.0,103.0,0.001
111.0,89.0,49.0,98.0,0.001
98.0,154.0,50.0,99.0,0.001
64.0,147.0,48.0,94.0,0.001
90.0,116.0,47.0,96.0,0.001
57.0,154.0,34.0,97.0,0.001
105.0,135.0,40.0,94.0,0.001
112.0,103.0,41.0,92.0,0.001
94.0,99.0,37.0,94.0,0.001
97.0,87.0,50.0,104.0,0.001
103.0,127.0,61.0,96.0,0.001
100.0,27.0,24.0,9.0,13.0
101.0,20.0,20.0,6.0,12.0
99.0,29.0,23.0,7.0,11.0
120.0,31.0,22.0,9.0,13.0
111.0,33.0,24.0,8.0,10.0
103.0,26.0,25.0,8.0,9.0
111.0,32.0,21.0,10.0,16.0
113.0,26.0,25.0,9.0,12.0
98.0,33.0,26.0,9.0,13.0
89.0,35.0,22.0,11.0,16.0
78.0,32.0,24.0,7.0,17.0
121.0,27.0,25.0,8.0,13.0
114.0,25.0,23.0,7.0,13.0
99.0,28.0,24.0,10.0,12.0
101.0,30.0,25.0,9.0,11.0
103.0,37.0,22.0,9.0,8.0
120.0,29.0,26.0,8.0,12.0
121.0,30.0,20.0,7.0,10.0
99.0,32.0,22.0,8.0,14.0
101.0,33.0,21.0,6.0,10.0
103.0,32.0,19.0,7.0,11.0
112.0,34.0,19.0,9.0,14.0
104.0,28.0,24.0,8.0,12.0
100.0,27.0,23.0,9.0,13.0
92.0,32.0,24.0,7.0,12.0
93.0,34.0,21.0,6.0,10.0
198.0,35.0,22.0,5.0,9.0
103.0,29.0,20.0,9.0,13.0
132.0,29.0,24.0,8.0,10.0
133.0,31.0,22.0,7.0,11.0
129.0,27.0,21.0,7.0,10.0
135.0,27.0,24.0,9.0,13.0
